name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas
"Tinto de verano clásico sin alcohol Don Simón botella 1,5 l.","1,55 €",0 g,14 Kcal,60 KJ,0.01 g,3.5 g,0.1 g
Caramelos sabor frutos rojos Smint 2 paquetes de 50 ud.,"3,99 €",1.3 g,249 Kcal,1037 KJ,0.2 g,96 g,0 g
Picos 100% de espelta Carrefour El Mercado 140 g,"1,75 €",1.5 g,381 Kcal,1615 KJ,1.9 g,74 g,16 g
Sándwich mixto relleno de jamón y queso Casa Tarradellas 240 g.,"2,09 €",8.2 g,248 Kcal,1045 KJ,1.5 g,29.4 g,14.2 g
Tiras de maíz sabor barbacoa Carrefour 150 g.,"0,80 €",33.0 g,567.0 Kcal,2363.0 KJ,1.5 g,57.0 g,5.0 g
Vino blanco joven albariño Pazo da Torre Albariño D.O. Rías Baixas 75 cl.,"9,90 €",0.10 g,79 Kcal,329 KJ,0 g,2.1 g,0.1 g
Preparado de carne picada de cerdo Carrefour El Mercado 500 g,"2,95 €",15 g,210 Kcal,872 KJ,0.088 g,0 g,3.56 g
Galletas de avena con chocolate negro sin azúcar añadido Zero Gullón 275 g.,"2,85 €",22 g,441 Kcal,1837 KJ,0.75 g,57 g,8.0 g
Queso curado de cabra Vega de San Martín 250 g.,"8,69 €",39.6 g,464 Kcal,1934 KJ,2 g,0 g,27.6 g
"Pizza de atún, cebolla asada y salsa teriyaki Pizza & Salsa Campofrio 360 g.","2,99 €",11 g,269 Kcal,1128 KJ,1.8 g,33 g,9.4 g
Mayonesa Hellmann's sin gluten tarro 225 ml.,"1,95 €",61 g,552 Kcal,2314 KJ,1.1 g,2 g,0.7 g
Leche infantil de crecimiento desde los 24 meses en polvo Nestlé Nan Optipro 4 lata 800 g.,"18,59 €",21.5 g,483.0 Kcal,2026.0 KJ,0.24 g,65.1 g,0.14 g
Cigarrillos de Tolosa de chocolate De Nuestra Tierra 200 g.,"4,75 €",33 g,564 Kcal,2355 KJ,0.05 g,58 g,6.6 g
Zumo de naranja sin pulpa ecológico Carrefour 75 cl.,"2,69 €",0 g,45 Kcal,189 KJ,,10 g,
Espárrago verde entero Findus 200 g.,"4,79 €",0.3 g,30 Kcal,125 KJ,0.03 g,3.2 g,2.7 g
Aceite de oliva virgen extra Carrefour 1 l.,"9,89 €",100 g,900 Kcal,3700 KJ,,,
Rallado sabor mozzarella Violife sin gluten y sin lactosa 200 g.,"3,39 €",24 g,298 Kcal,1247 KJ,1.7 g,21 g,0 g
Bebida láctea desnatada Naturcol Central Lechera Asturiana brik 1 l.,"1,69 €",0.5 g,36 Kcal,152 KJ,0.13 g,4.7 g,3.2 g
"Refresco Antarctica con gas sabor guaraná botella 1,5 l.","3,15 €",0 g,40.0 Kcal,170.0 KJ,0.02 g,10.0 g,0 g
Salsa chili con jalapeños Thomy 230 ml.,"2,39 €",0.6 g,64 Kcal,273 KJ,2.7 g,11.5 g,1.7 g
Cerveza Carrefour sin alcohol lata 33 cl.,"0,35 €",0 g,25 Kcal,105 KJ,0 g,4.7 g,0 g
"Zumo de naranja, limón y zanahoria Carrefour brik 1 l.","0,99 €",0.5 g,29 Kcal,121 KJ,0.01 g,6.9 g,0.5 g
Pasta de animales de tomate y espinacas Dalla Costa 250 g.,"2,19 €",1.6 g,357 Kcal,1516 KJ,,73 g,12 g
Pizza salame Grandissima Ristorante 540 g.,"5,49 €",9.4 g,240.0 Kcal,1006.0 KJ,1.1 g,28.0 g,9.3 g
Tarrito de 3 frutas desde 4 meses Hero Baby sin gluten 190 g.,"1,35 €",0.2 g,69 Kcal,292 KJ,0.01 g,15 g,0.9 g
Muesli 35% frutas ecológico Carrefour Bio 500 g.,"3,85 €",8.3 g,380 Kcal,1599 KJ,0.02 g,63 g,8.8 g
Hamburguesa originales Heura sin gluten 440 g,"8,79 €",6.5 g,145.0 Kcal,611.0 KJ,,5.9 g,15.1 g
Tortillas de trigo integral Carrefour Sensation sin aceite de palma 10 ud.,"1,83 €",7.3 g,288 Kcal,1212 KJ,1.6 g,42 g,9.2 g
Zumo de frutas y leche Carrefour sabor mediterráneo brik 1 l.,"0,95 €",0.1 g,38 Kcal,159.1 KJ,0.02 g,8.7 g,0.5 g
"Mantequilla tradicional Arias pack de 10 porciones de 11,5 g.","2,15 €",83 g,753 Kcal,3098 KJ,0.03 g,0.8 g,0.8 g
Bombón choco&choco Extra Carrefour sin gluten 6 ud.,"3,15 €",20 g,334 Kcal,1393 KJ,0.24 g,33 g,4.2 g
Tinto de verano con limón La Casera lata 33 cl.,"0,99 €",0.0 g,31 Kcal,127 KJ,0.08 g,1.8 g,0.0 g
Leche entera con calcio Carrefour brik 1 l.,"1,10 €",3.6 g,67 Kcal,279 KJ,0.13 g,4.7 g,3.9 g
Harina de avena integral Carrefour 500 g.,"1,24 €",8.9 g,403 Kcal,1693 KJ,0 g,62 g,12 g
Salsa boloñesa de soja Gallo 350 g.,"3,55 €",5.7 g,94 Kcal,391 KJ,1 g,5.3 g,4.3 g
Café molido mezcla Carrefour 250 g.,"2,19 €",12.0 g,342.0 Kcal,1412.0 KJ,0.1 g,16.0 g,17.0 g
Zumo de manzana Carrefour brik 1 l.,"0,65 €",0 g,46 Kcal,192.59 KJ,0.03 g,11 g,0.5 g
Tomate frito Orlando sin gluten tarro 500 g.,"2,35 €",3.5 g,73 Kcal,307 KJ,1.5 g,9.1 g,1.1 g
Aperitivo de patata picante Dipster Carrefour 175 g.,"2,15 €",25 g,492 Kcal,2059 KJ,1.5 g,61 g,4.3 g
Cerveza Mahou Clásica pack de 6 botellas de 25 cl.,"3,65 €",0 g,42 Kcal,178 KJ,0 g,34.0 g,3.0 g
Mousse de café Nestlé La Lechera pack de 4 unidades de 59 g.,"1,99 €",7.3 g,163 Kcal,685 KJ,0.22 g,20.4 g,3.7 g
Preparado para flan y natillas Flanín El niño Maizena 192 g.,"1,50 €",1.3 g,112 Kcal,469 KJ,0.1 g,22 g,2.8 g
Ginger Ale Schweppes jengibre intenso premium botella 20 cl.,"1,91 €",0.0 g,38 Kcal,160 KJ,0.05 g,9.1 g,0.0 g
Mini enrollados de queso Minirolls Babybel 85 g.,"2,39 €",18.5 g,275 Kcal,1140 KJ,1.5 g,0.5 g,26.5 g
Champiñón en trozos Classic Carrefour 230 g.,"1,27 €",0 g,19 Kcal,80 KJ,0.58 g,0.6 g,2.6 g
Chicles de menta sin azúcar Refreshers Orbit 67 g.,"3,89 €",,159.0 Kcal,664.0 KJ,,66.0 g,
Queso rallado Proteína Plus Sensation Carrefour sin gluten 150 g.,"2,59 €",8 g,207 Kcal,871 KJ,2 g,1 g,33 g
Paleta curada reserva raza duroc en lonchas Valja 150 g,"3,29 €",12.04 g,224.8 Kcal,940.2 KJ,4 g,0.6 g,28.5 g
Cerveza Amstel Radler con limón pack de 6 botellas de 25 cl.,"4,45 €",0 g,41 Kcal,172 KJ,0.01 g,7.5 g,0 g
Pannini bacon crispy Dr. Oetker 250 g.,"3,39 €",11 g,255 Kcal,1070 KJ,1.5 g,29 g,9.2 g
Caldo casero de pollo Gallina Blanca sin gluten pack de 6 unidades de 1 l.,"12,85 €",0.3 g,5 Kcal,22 KJ,0.75 g,0.2 g,0.4 g
Leche entera brik 1 l.,"0,89 €",3.6 g,63 Kcal,264 KJ,0.13 g,4.6 g,3.1 g
Postre lácteo fresa y plátano desde 6 meses Nestlé Yogolino sin gluten y sin azúcar añadido pack de 4 unidades de 100 g.,"3,35 €",2.1 g,70.0 Kcal,296.0 KJ,0.06 g,10.1 g,2.4 g
Leche entera Puleva brik 1 l.,"1,15 €",3.6 g,63 Kcal,264 KJ,0.13 g,4.7 g,3.0 g
Tarrito de pollo con arroz desde 6 meses ecológico Smileat sin gluten 230 g.,"2,89 €",0.5 g,41 Kcal,172 KJ,0.02 g,5.6 g,3.4 g
Tarrito de verduras con quinoa desde 6 meses ecológico Smileat sin gluten 230 g.,"2,55 €",1 g,37.6 Kcal,158.4 KJ,0.04 g,6.2 g,1 g
Harina de maíz fina Maizena sin gluten 400 g.,"3,39 €",0.5 g,355 Kcal,1487 KJ,0.01 g,86 g,0.5 g
Café ginseng en cápsulas Nescafé Dolce Gusto 16 ud.,"5,45 €",15.0 g,395 Kcal,1655 KJ,0.77 g,44.4 g,16.2 g
Copos de avena solubles con cacao natural sin azúcar añadido Cola Cao Avenacao 300 g,"4,69 €",5.4 g,355 Kcal,1495 KJ,0.19 g,60 g,11 g
Tarta Bombón de Chocolate 600 g,"9,90 €",23.45 g,362.47 Kcal,1510.35 KJ,0.26 g,32.91 g,4.1 g
Fideos nº 0 ecológico Gallo 450 g.,"2,09 €",2 g,344 Kcal,1458 KJ,0.03 g,69 g,11 g
Sazonador para espagueti Carmencita sin gluten 30 g.,"2,39 €",4.7 g,257 Kcal,1072 KJ,19.3 g,31.5 g,10.2 g
Aceitunas verdes manzanilla sin hueso con limón y albahaca Serpis doy pack 70 g.,"1,58 €",16 g,151 Kcal,631 KJ,3.3 g,0.5 g,1.2 g
Trufa rallada Extra Carrefour 30 g.,"3,39 €",35.5 g,358 Kcal,1471 KJ,1.7 g,2 g,3.4 g
Smoothie verde Greatest Hits botella 25 cl.,"2,95 €",0 g,56 Kcal,233 KJ,0.1 g,13 g,0.5 g
Pulpa de tomate ecológico Pedro Luis 660 g.,"3,49 €",0.5 g,85.3 Kcal,85.3 KJ,0 g,4.0 g,1.0 g
Leche fermentada líquida desnatada natural sin azúcar añadido Danone - Actimel sin gluten pack de 6 unidades de 100 g.,"3,79 €",0.4 g,31 Kcal,130 KJ,0 g,4 g,2.8 g
"Cerveza tostada Mahou 0,0 alcohol pack de 6 botellas de 25 cl.","4,49 €",0 g,26 Kcal,111 KJ,0 g,6.2 g,0.3 g
Coca Cola zero azúcar botella 1 l.,"2,25 €",0 g,0.2 Kcal,0.9 KJ,0.02 g,0 g,0 g
Pimientos de piquillo ecológico Carrefour Bio 165 g.,"3,89 €",0.30 g,44.00 Kcal,187.00 KJ,0.20 g,8.00 g,1.20 g
Aceite de oliva virgen extra Aromas del Sur 5 l.,"47,20 €",91.4 g,822 Kcal,3378 KJ,0 g,0 g,0 g
Queso de vaca madurado parmigiano reggiano D.O.P. Roccia 24 meses curación Parmareggio 300 g aprox,"10,06 €",30 g,402 Kcal,1671 KJ,1.6 g,0 g,32 g
Lenteja pardina categoría extra Luengo 1 kg.,"3,79 €",2.1 g,281 Kcal,1171 KJ,0 g,23 g,23 g
Galletas mini Carrefour Classic 500 g.,"2,65 €",16 g,452 Kcal,1902 KJ,1 g,70 g,5.9 g
Rectoral De Amandi Tinto 2021,"7,69 €",0 g,81 Kcal,335 KJ,0.003 g,2.5 g,0.1 g
Salsa carbonara Classic Carrefour sin gluten 300 g.,"1,40 €",8.1 g,94 Kcal,389 KJ,1.3 g,3.3 g,1.7 g
Aceite de oliva virgen extra Oleoestepa 1 l.,"11,89 €",91 g,819 Kcal,3367 KJ,0 g,0 g,0 g
Cerveza Desperados sabor tequila lata 50 cl.,"1,86 €",0 g,59 Kcal,247 KJ,0.01 g,6.30 g,0 g
Jamón de Cebo Ibérico de Campo 50% Raza Ibérica Esencia Única Covap 120 g,"13,69 €",16 g,284 Kcal,1187 KJ,5 g,2.0 g,34 g
Arroz redondo para microondas  Brillante pack de 2 ud. de 200 g.,"2,39 €",1 g,197 Kcal,823 KJ,0.60 g,42 g,4 g
"Galletas muesli con avena, pasas, albaricoque y soja Digestive Gullón 365 g.","2,19 €",18 g,462 Kcal,1938 KJ,0.70 g,64 g,7.5 g
Bolsita de yogur y avena desde 12 meses ecológico Smileat 100 g.,"1,82 €",4.4 g,111 Kcal,467 KJ,0.07 g,15 g,2.7 g
Miel de bosque Carrefour Classic' 500 g.,"4,95 €",0.0 g,332.0 Kcal,1411.0 KJ,0.0 g,83.0 g,0.0 g
Yogur estilo griego de sirtaki de vainilla ecológico Casa Grande Xanceda sin gluten 400 g.,"3,39 €",4.1 g,109.8 Kcal,458.9 KJ,0.07 g,14.2 g,3.5 g
Yogur desnatado sabor frutos del bosque Danone Vitalinea sin azúcar añadido pack de 4 unidades de 120 g.,"2,05 €",0.1 g,38 Kcal,163 KJ,0.15 g,5.2 g,4.2 g
Salsa Lea & Perrins botella 150 g.,"3,79 €",0.9 g,96 Kcal,405 KJ,2.9 g,21 g,0.8 g
Bebida de almendra calcio sin azúcar añadido Carrefour sin gluten brik 1 l.,"1,30 €",2.1 g,24 Kcal,100 KJ,0.12 g,0.4 g,0.9 g
Panceta salada La Nuncia 370 g aprox,"3,70 €",25.56 g,307 Kcal,1272.9 KJ,9.27 g,0.8 g,19.23 g
Pasta fresca al huevo tagliolini Carrefour Extra 250 g.,"1,31 €",3 g,287 Kcal,1213 KJ,0 g,54 g,10 g
Mini magdalena ecológicas choco-chips con yogur La Granja 200 g,"3,59 €",25 g,447 Kcal,1868 KJ,0.75 g,49 g,5.5 g
Zamburiñas de las rías gallegas en salsa De Nuestra Tierra sin gluten 65 g.,"4,05 €",7.5 g,133 Kcal,556 KJ,1.5 g,3.4 g,13 g
Pan de hamburguesa Juanito Baker 150 g.,"1,99 €",4.6 g,251 Kcal,1050 KJ,0.77 g,43.9 g,7.9 g
Picos con chía Carrefour sin gluten y sin lactosa 70 g.,"1,85 €",15.9 g,443.0 Kcal,1860.0 KJ,,67.3 g,4.7 g
Paté al Oporto Carrefour El Mercado sin gluten 100 g,"1,85 €",23.0 g,258.0 Kcal,1068.0 KJ,1.6 g,1.6 g,11.0 g
Nata fresca Cremfres Albe sin gluten 500 g.,"3,85 €",24 g,238 Kcal,983 KJ,0.2 g,2.8 g,2.8 g
Yogur natural con azúcar de caña Carrefour Classic' pack de 8 unidades de 125 g.,"1,40 €",3.1 g,89 Kcal,375 KJ,0.10 g,11.4 g,3.3 g
Chocolate con leche Cadbury 180 g.,"3,75 €",30 g,534 Kcal,2230 KJ,0.24 g,57 g,7.4 g
Tallarines Carrefour 1 kg.,"1,20 €",2 g,344 Kcal,1458 KJ,0.03 g,68 g,12 g
Alubias a la vasca Litoral sin gluten 430 g.,"2,79 €",5.8 g,124 Kcal,517 KJ,0.89 g,9.0 g,6.2 g
Pisto de verduras Carretilla sin gluten 300 g.,"3,39 €",3.3 g,62 Kcal,260 KJ,0.95 g,5.2 g,2.2 g
"Cerveza Amstel 0,0 sin alcohol Radler con limón pack de 12 latas de 33 cl.","6,59 €",0 g,30 Kcal,128 KJ,0.01 g,7.5 g,0 g
"Bolsita de manzana, plátano y fresa Nestlé Cool Fruits sin azúcar añadido 110 g.","1,25 €",0.5 g,59.0 Kcal,250.0 KJ,0.01 g,12.5 g,0.5 g
Harina de maíz precocida Goya sin gluten 1 kg.,"2,25 €",2 g,367 Kcal,1558 KJ,2.28 g,79.40 g,7.8 g
Barritas de chocolate rellenas de caramelo 6 ud.,"1,64 €",20 g,464 Kcal,1942.68 KJ,0.48 g,66 g,4.4 g
Cortezas de lentejas ecológicas Ecocesta 65 g.,"2,79 €",22.2 g,476 Kcal,1991 KJ,3.1 g,55.3 g,12 g
Postre delicias de turrón Nestlé La Lechera pack de 2 unidades de 125 g.,"1,59 €",5.4 g,138 Kcal,580 KJ,0.19 g,18 g,4.1 g
Cereales choco krispies Kellogg's 420 g.,"3,55 €",1.9 g,386 Kcal,1636 KJ,0.65 g,84 g,6.3 g
Galleta Circus Carrefour Classic 330 g.,"1,64 €",18 g,469 Kcal,1968 KJ,1.0 g,68 g,6.4 g
Crema de cacao y leche con avellanas Nocilla sin gluten y sin aceite de palma 360 g.,"3,49 €",31 g,539 Kcal,2253 KJ,0.14 g,60 g,4.2 g
Pizza hawaii Ristorante 355 g.,"3,89 €",8 g,208 Kcal,873 KJ,1 g,25 g,9 g
Bombón helado chocolate Double Magnum 3 ud.,"4,69 €",20 g,330 Kcal,1380 KJ,0.09 g,31 g,4 g
Vinagre balsámico de módena ecológico Carrefour Bio 250 ml.,"2,45 €",,124 Kcal,527 KJ,0.5 g,25 g,1 g
Bebida de soja sabor chocolate plant protein Alpro sn gluten y sin lactosa 750 ml.,"2,39 €",2.8 g,69 Kcal,291 KJ,0.16 g,5.3 g,5 g
Albóndigas de Añojo Círculo de Calidad 360 g,"4,65 €",4.9 g,125 Kcal,523 KJ,2 g,1.2 g,19 g
Pizza pepperoni con salsa diávolo picante Pizza & Salsa Campofrío 345 g.,"2,99 €",14 g,326 Kcal,1368 KJ,1.9 g,40 g,10 g
Yogur con fresa Nestlé La Lechera pack de 2 unidades de 125 g.,"1,39 €",2.7 g,114 Kcal,479 KJ,0.12 g,19.3 g,2.8 g
Churros crujientes y tiernos ultracongelados Original Carrefour 500 g.,"1,45 €",0.6 g,137 Kcal,582 KJ,0.67 g,28 g,4.2 g
Condimento preparado a base de aceite oliva virgen extra al ajo La Española 250 ml.,"3,99 €",91 g,822 Kcal,3381 KJ,0 g,0 g,0 g
Caramelos sabor toffee Werther's Original 300 g.,"4,19 €",8.6 g,425 Kcal,1797 KJ,1 g,86.7 g,0.3 g
Preparado de soja con piña y fruta de la pasión sin azúcar añadido Alpro Más Fruta sin gluten sin lactosa 400 g.,"2,49 €",2.1 g,62 Kcal,259 KJ,0.26 g,5.7 g,3.8 g
Grey Goose Vodka,"55,70 €",0 g,222 Kcal,930 KJ,0 g,0 g,0 g
"Cereales granola con manzana, jengibre y canela ecológicos La Newyorkina 275 g.","4,49 €",24.4 g,462 Kcal,1931 KJ,0.31 g,50 g,8.55 g
Zamburiñas en salsa de vieira Dani 63 g.,"2,95 €",6.5 g,110 Kcal,540 KJ,0.6 g,3 g,14.5 g
Judías verdes troceadas al natural La Hacienda de Ybarra 360 g.,"2,09 €",0.5 g,16 Kcal,68 KJ,0.88 g,2.6 g,0.7 g
Papilla infantil desde 6 meses 8 cereales toque a miel fibra Nutribén sin aceite de palma 600 g.,"5,95 €",1.1 g,371 Kcal,1572 KJ,0.04 g,80.9 g,5.4 g
Galletas rellenas de crema de vainilla Lotus Biscoff 150 g.,"1,95 €",26.0 g,522.0 Kcal,2186.0 KJ,0.67 g,68.0 g,3.7 g
Buguer cruchy sin gluten Carrefour El Mercado 240 g,"2,15 €",6.5 g,112.9 Kcal,471.9 KJ,0.1 g,0 g,13.5 g
Cacahuete cubierto de chocolate blanco y negro Lacasa sin gluten y sin aceite de palma 450 g.,"4,99 €",30.9 g,540 Kcal,2254 KJ,0.09 g,52.8 g,10.4 g
Conchas mini duocao Codan 5 ud.,"1,17 €",27 g,482 Kcal,2012 KJ,0.74 g,56 g,3.8 g
Magdalenas 0% azúcares La Bella Easo 8 ud.,"2,99 €",23 g,399 Kcal,1660 KJ,0.54 g,54 g,4.4 g
Postre de soja sabor chocolate Carrefour Sensation pack de 4 unidades de 100 g.,"1,50 €",2.0 g,91 Kcal,383 KJ,0.12 g,14 g,3.3 g
Palitos de pan con crema de cacao con avellanas Sticks Nocilla pack de 2 unidades de 30 g.,"1,20 €",23 g,503 Kcal,2107 KJ,0.5 g,63 g,7.2 g
Proteína para aumento de masa muscular sabor chocolate Victory 900 g.,"43,70 €",2.4 g,372.0 Kcal,1578.0 KJ,0.43 g,4.0 g,82.0 g
Galletas de barquillo rellena sabor chocolate Carrefour 210 g.,"0,99 €",29 g,518 Kcal,2163 KJ,0.26 g,54 g,7.5 g
Natillas de vainilla La Lechera pack de 6 unidades de 115 g.,"2,69 €",3 g,107 Kcal,451 KJ,0.19 g,17.1 g,3 g
Yogur sabor limón Nestlé La Lechera sin gluten pack de 2 unidades de 125 g.,"1,39 €",3.4 g,98 Kcal,410 KJ,0.15 g,13.4 g,3.4 g
Fabada asturiana Carrefour 765 g.,"2,49 €",10 g,164 Kcal,681 KJ,0.96 g,11 g,5.8 g
Preparado panificable Extra Carrefour No Gluten sin gluten y sin lactosa 850 g.,"2,45 €",0.0 g,346.0 Kcal,1470.0 KJ,,80.0 g,5.6 g
Aperitivo de maíz Super Zapitos Carrefour Kids sin gluten pack de 8 unidades de 6 g.,"0,96 €",15 g,446 Kcal,1875 KJ,1.0 g,71 g,6.2 g
Cerveza 1906 reserva especial lata 33 cl.,"1,05 €",0 g,54 Kcal,224 KJ,0 g,3.9 g,0 g
Gnocchi Schär sin gluten y sin lactosa 300 g.,"3,69 €",0 g,162 Kcal,686 KJ,1 g,36 g,3.1 g
Café latte cappuccino Kaiku sin gluten 370 ml.,"2,69 €",1.2 g,59 Kcal,251 KJ,0.08 g,9.2 g,2.8 g
Pizza italiana queso y jamón Carrefour 410 g,"4,75 €",21.0 g,318.0 Kcal,1325.0 KJ,1.3 g,21.0 g,11.0 g
Queso maasdam Carrefour 375 g.,"3,45 €",27 g,354 Kcal,1473 KJ,1.2 g,0 g,27 g
Croissant Classic Carrefour No Gluten¡ sin gluten 200 g.,"3,15 €",18.0 g,356.0 Kcal,1490.0 KJ,1.7 g,44.0 g,1.6 g
Garbanzos con espinacas ecológicos Litoral sin gluten 420 g.,"2,69 €",2.4 g,74 Kcal,308 KJ,0.92 g,7.6 g,3.8 g
Cerveza Alhambra tradicional lata 50 cl.,"1,07 €",0 g,40 Kcal,168 KJ,0 g,34.0 g,3.0 g
Chorizo de león picante De Nuestra Tierra 450 g.,"5,55 €",27 g,319 Kcal,1321 KJ,2.9 g,0 g,20 g
Barrita de proteínas sabor chocolate intenso Just Loading pack de 3 unidades de 30 g.,"3,25 €",9.8 g,362 Kcal,1525 KJ,0.15 g,38.5 g,30 g
Tortitas de arroz integrales con chocolate blanco aroma yogur Carrefour 130 g.,"1,60 €",20.0 g,482.0 Kcal,2024.0 KJ,0.18 g,68.0 g,7.1 g
Bebida de fruta de naranja y mango con extracto de guaraná Juver brik 33 cl.,"1,13 €",0.1 g,48 Kcal,203 KJ,0.025 g,11.4 g,0.3 g
Aceite de oliva virgen extra variedad picual Dcoop 1 l.,"14,89 €",100 g,900 Kcal,3700 KJ,0 g,0 g,0 g
Cacao soluble instantáneo Nestlé Nesquik sin gluten 390 g.,"3,29 €",3.6 g,386 Kcal,1634 KJ,0.41 g,78.9 g,5.1 g
Nata liquida para montar Carrefour pack de 3 unidades de 200 ml.,"1,89 €",35 g,336 Kcal,1383 KJ,0.10 g,3.0 g,2.2 g
Mimos de merluza congelados Pescanova 360 g.,"6,05 €",1.5 g,77 Kcal,324 KJ,0.6 g,0 g,15.8 g
Pimiento del piquillo entero al ajillo Carrefour 225 g.,"1,17 €",0 g,30 Kcal,129 KJ,0.5 g,5.4 g,1.5 g
Ventresca de atún claro en aceite de oliva Carrefour 73 g.,"3,29 €",21 g,253 Kcal,1047 KJ,1.5 g,0.5 g,15 g
Pechuga de pollo Campofrío Finissimas sin gluten y sin lactosa 115 g.,"1,99 €",1.5 g,86 Kcal,362 KJ,2 g,3 g,15 g
Cereales con miel Rice Kripies Multigrain Kellogg's 350 g,"4,85 €",3.1 g,385 Kcal,1627 KJ,0.17 g,76 g,7.3 g
Galletas cookies Carrefour Classic sin aceite de palma 200 g.,"1,92 €",22 g,486 Kcal,2035 KJ,0.74 g,63 g,6.1 g
Zumo de mandarina Simon Life pack de 4 botellas de 20 cl.,"1,92 €",0.1 g,29 Kcal,129 KJ,0.02 g,7 g,0 g
Queso emmental tierno en porciones Mini Babybel sin gluten sin lactosa 120 g.,"2,79 €",25 g,317 Kcal,1320 KJ,1.5 g,0.5 g,23 g
Pipas Borges sin gluten 350 g.,"2,59 €",26 g,410 Kcal,1687 KJ,3.9 g,4 g,17 g
Pizza prosciutto funghi Ristorante Dr. Oetker 350 g.,"3,89 €",9.4 g,223 Kcal,936 KJ,1.1 g,23 g,11 g
Pan rustic con aceite de oliva Andrés 140 g.,"1,79 €",3.9 g,380 Kcal,1605 KJ,1.7 g,74.7 g,8.8 g
Pipas tostadas aguasal Arias sin gluten 150 g.,"1,58 €",24.1 g,408 Kcal,1680 KJ,1.5 g,3.9 g,21.3 g
Chuleta de Sajonia 600 g aprox,"5,73 €",6.5 g,135 Kcal,564 KJ,2.0 g,1.5 g,17.5 g
Pan de molde rebanada estilo artesano Bimbo 550 g.,"3,29 €",2.7 g,255 Kcal,1078 KJ,1.2 g,48 g,8.2 g
Fingers vegetal sabor pollo Sensation Carrefour 275 g.,"3,29 €",13 g,244 Kcal,1017 KJ,1.3 g,22 g,6.6 g
Pan de molde tipo brioche Schär sin gluten 370 g.,"4,95 €",5.5 g,262 Kcal,1106 KJ,0.58 g,48 g,3 g
Cebollitas grandes Extra Carrefour 370 g.,"2,09 €",0 g,22 Kcal,92 KJ,2 g,2 g,1 g
Aperitivo de gambas Carrefour 100 g.,"1,54 €",31.0 g,530.0 Kcal,2214.0 KJ,2.0 g,60.0 g,2.0 g
Salsa Kimchi Tiger Khan 200 ml.,"4,45 €",0 g,77 Kcal,326 KJ,9.7 g,15.9 g,3.3 g
Pan de Hamburguesa brioche Juanito Baker 150 g.,"2,05 €",9.9 g,302 Kcal,1263 KJ,1.11 g,42.4 g,8.9 g
Salsa para fajitas Old El Paso sin gluten y sin lactosa 395 g.,"3,85 €",0.5 g,45 Kcal,190 KJ,0.99 g,7.9 g,1.3 g
Postre lácteo de plátano desde 6 meses Nestlé Yogolino sin gluten pack de 8 unidades de 100 g.,"5,59 €",2.7 g,83.0 Kcal,350.0 KJ,0.08 g,11.5 g,3.0 g
Queso de untar con finas hierbas Philadelphia 150 g.,"2,65 €",10 g,142 Kcal,591 KJ,0.91 g,5.3 g,7.2 g
Leche infantil para lactantes en polvo Hero Baby Pedialac 1  lata 800 g.,"21,00 €",3.5 g,66 Kcal,276 KJ,,7.1 g,1.3 g
Cerveza Alhambra especial sin alcohol botella 1 l.,"1,90 €",0 g,24 Kcal,103 KJ,0 g,51 g,2 g
Chorizo y salchichón ibérico velita curados sin gluten y sin lactosa 400 g,"6,59 €",37.8 g,455 Kcal,1887 KJ,3.8 g,1.6 g,27.1 g
Concentrado de proteína de suero de leche sabor chocolate Prozis 400 g.,"16,79 €",6 g,406 Kcal,1699 KJ,0.29 g,5 g,83 g
Queso Gorgonzola D.O.P Biraghi 200 g.,"3,99 €",27.0 g,321.0 Kcal,1332.0 KJ,1.9 g,0.6 g,19.0 g
Reign Orange Dreamsicle Bebida Energética lata 50 cl.,"2,15 €",0 g,3 Kcal,15 KJ,0.11 g,0.7 g,0.2 g
Aquarius sabor naranja pack de 9 latas de 33 cl.,"8,35 €",0 g,19.0 Kcal,81.0 KJ,0.05 g,4.5 g,0 g
Mantequilla tradicional sin sal Central Lechera Asturiana 250 g.,"3,55 €",82 g,742 Kcal,3051 KJ,0.03 g,0.4 g,0.6 g
Chorizo Oreado Carrefour El Mercado 400 g aprox,"3,54 €",40 g,417 Kcal,1724 KJ,2.3 g,2 g,13 g
Bebida de melocotón Granini pack 3 minibrik de 20 cl.,"1,80 €",0.5 g,37 Kcal,155 KJ,0 g,8.2 g,0.5 g
Calamar limpio 400 g.,"6,49 €",2.1 g,72 Kcal,340 KJ,1.43 g,0 g,13.3 g
Mini grageas de chocolate con leche Lacasitos sin gluten y sin aceite de palma 150 g.,"3,69 €",19.6 g,484 Kcal,2033 KJ,0.18 g,70.3 g,6.0 g
Galletas con chocolate y limón Devoragras Bicentury sin aceite de palma 160 g.,"2,79 €",21.0 g,467.0 Kcal,1955.0 KJ,0.67 g,61.0 g,5.4 g
Chicles de hierbabuena Refreshers Orbit sin azúcar 67 g.,"3,89 €",,160.0 Kcal,667.0 KJ,,67.0 g,
Cerveza San Miguel especial Lager pack de 6 botellas de 25 cl.,"3,65 €",0 g,49 Kcal,204 KJ,0 g,4.1 g,0.4 g
Prime lima limón botella 500 ml.,"2,99 €",0 g,4.0 Kcal,17.0 KJ,0.02 g,1.0 g,0 g
"Font Vella La Limonada con zumo de limón sin gas zero botella 1,25 l.","1,99 €",0 g,1 Kcal,4 KJ,0 g,0.1 g,0.02 g
