vendor,name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas,url
Carrefour,"Cerveza negra Guinnes Draught 0,0 lata 44 cl.",3.59,0 g,16 Kcal,66 KJ,0.01 g,3.5 g,0.4 g,https://www.carrefour.es/supermercado/cerveza-negra-guinnes-draught-00-lata-44-cl/R-VC4AECOMM-723970/p
Carrefour,Pizza cheese onion Big Americans 385 g,4.69,9.3 g,257 Kcal,1079 KJ,0.87 g,32 g,10 g,https://www.carrefour.es/supermercado/pizza-cheese-onion-big-americans-385-g/R-VC4AECOMM-026566/p
Carrefour,Preparado lácteo Flora Folic B Ligera brik 1 l.,1.83,1.7 g,47 Kcal,197 KJ,0.18 g,4.8 g,3.1 g,https://www.carrefour.es/supermercado/preparado-lacteo-flora-folic-b-ligera-brik-1-l/R-531201976/p
Carrefour,Fuet espetec Casademont sin gluten pack de 2 unidades de 170 g,5.50,36 g,451 Kcal,1871 KJ,3.5 g,2.7 g,29 g,https://www.carrefour.es/supermercado/fuet-espetec-casademont-sin-gluten-pack-de-2-unidades-de-170-g/R-fprod1460292/p
Carrefour,Arroz redondo integral Carrefour 1 kg.,1.49,2.1 g,344 Kcal,1456 KJ,0.01 g,71 g,8 g,https://www.carrefour.es/supermercado/arroz-redondo-integral-carrefour-1-kg/R-VC4AECOMM-689578/p
Carrefour,Cacahuetes pelados fritos ecológicos Carrefour Bio doy pack 125 g.,1.33,43 g,562 Kcal,2329 KJ,1.00 g,14 g,,https://www.carrefour.es/supermercado/cacahuetes-pelados-fritos-ecologicos-carrefour-bio-doy-pack-125-g/R-VC4AECOMM-464792/p
Carrefour,Chocolate negro 70% con avellanas Valor sin gluten 250 g.,4.84,42 g,559 Kcal,2318 KJ,0.09 g,26 g,12 g,https://www.carrefour.es/supermercado/chocolate-negro-70-con-avellanas-valor-sin-gluten-250-g/R-prod810352/p
Carrefour,Helado de vainilla de Madagascar ecológico Carrefour Bio 450 g.,4.75,6.3 g,171 Kcal,717 KJ,0.18 g,23 g,4.2 g,https://www.carrefour.es/supermercado/helado-de-vainilla-de-madagascar-ecologico-carrefour-bio-450-g/R-fprod1180029/p
Carrefour,Cerezas en almibar deshuesadas Extra Carrefour 360 g.,2.25,0 g,62 Kcal,261 KJ,0.08 g,15 g,0 g,https://www.carrefour.es/supermercado/cerezas-en-almibar-deshuesadas-extra-carrefour-360-g/R-VC4AECOMM-547969/p
Carrefour,Chocolate con leche con avellanas caramelizadas ecológico Carrefour Bio 100 g.,1.99,40.0 g,565.0 Kcal,2351.0 KJ,0.2 g,41.0 g,8.1 g,https://www.carrefour.es/supermercado/chocolate-con-leche-con-avellanas-caramelizadas-ecologico-carrefour-bio-100-g/R-825914898/p
Carrefour,Proteína de guisante texturizada media ecológica Bio para todos 200 g.,2.49,5.1 g,360 Kcal,1531 KJ,0 g,15 g,55 g,https://www.carrefour.es/supermercado/proteina-de-guisante-texturizada-media-ecologica-bio-para-todos-200-g/R-VC4AECOMM-009151/p
Carrefour,Hamburguesa de Pollo Carrefour 540 g,3.89,10 g,151 Kcal,628 KJ,1.5 g,1.2 g,14 g,https://www.carrefour.es/supermercado/hamburguesa-de-pollo-carrefour-540-g/R-VC4AECOMM-065851/p
Carrefour,Leche infantil de crecimiento desde 12 meses en polvo Hero Baby Nutrasense Premium 3 lata 800 g.,16.85,2.6 g,62 Kcal,262 KJ,,8.3 g,1.3 g,https://www.carrefour.es/supermercado/leche-infantil-de-crecimiento-desde-12-meses-en-polvo-hero-baby-nutrasense-premium-3-lata-800-g/R-prod820289/p
Carrefour,Sardinas en aceite de oliva Isabel 115 g.,1.91,12 g,200 Kcal,835 KJ,1.2 g,0 g,23 g,https://www.carrefour.es/supermercado/sardinas-en-aceite-de-oliva-isabel-115-g/R-522713819/p
Carrefour,Chocolate negro 85% almendras troceadas sin azúcares añadidos Valor sin gluten 100 g.,2.29,48 g,569 Kcal,2349 KJ,0.11 g,16 g,15 g,https://www.carrefour.es/supermercado/chocolate-negro-85-almendras-troceadas-sin-azucares-anadidos-valor-sin-gluten-100-g/R-VC4AECOMM-417011/p
Carrefour,Ventresca de bonito del norte en aceite oliva De Nuestra Tierra 81 g.,8.99,25 g,310 Kcal,1286 KJ,1.3 g,0 g,22 g,https://www.carrefour.es/supermercado/ventresca-de-bonito-del-norte-en-aceite-oliva-de-nuestra-tierra-81-g/R-521006230/p
Carrefour,Kéfir suave con frutas del bosque ecológico Casa Grande de Xanceda sin gluten pack de 2 unidades de 125 g.,2.09,4.2 g,99.2 Kcal,416.4 KJ,0.07 g,12.1 g,3.6 g,https://www.carrefour.es/supermercado/kefir-suave-con-frutas-del-bosque-ecologico-casa-grande-de-xanceda-sin-gluten-pack-de-2-unidades-de-125-g/R-VC4AECOMM-476830/p
Carrefour,Sardinas en aceite de oliva procedente de pesca sostenible Carrefour pack de 2 unidades de 84 g.,3.95,17 g,234 Kcal,973 KJ,0.8 g,0 g,21 g,https://www.carrefour.es/supermercado/sardinas-en-aceite-de-oliva-procedente-de-pesca-sostenible-carrefour-pack-de-2-unidades-de-84-g/R-prod590530/p
